Date,Yield on U.S. 10 Year Government Bond - %,S&P 500,NASDAQ 100,Bloomberg Dollar Index,Gold Price (Oz.) - USD,M2 Money Supply - USD Trillions
2015-01-02,2.1105,2058.2,4230.24,1141.02,1188.39,12.0996
2015-01-05,2.032,2020.58,4160.96,1143.4,1204.86,12.0996
2015-01-06,1.9402,2002.61,4110.83,1143.01,1218.58,12.0996
2015-01-07,1.9677,2025.9,4160,1145.62,1211.41,12.0996
2015-01-08,2.0179,2062.14,4240.55,1147.54,1208.79,12.0996
2015-01-09,1.9449,2044.81,4213.28,1141.13,1223.25,12.0996
2015-01-12,1.907,2028.26,4169.97,1142.87,1233.31,12.0996
2015-01-13,1.9,2023.03,4166.2,1143.41,1230.64,12.0996
2015-01-14,1.8553,2011.27,4145.84,1140.2,1228.72,12.0996
2015-01-15,1.7149,1992.67,4089.65,1136.51,1262.75,12.0996
2015-01-16,1.8368,2019.42,4142.14,1139.27,1280.45,12.0996
2015-01-19,1.8368,2019.42,4142.14,1140.12,1275.65,12.0996
2015-01-20,1.788,2022.55,4171.21,1145.7,1295.32,12.0996
2015-01-21,1.8717,2032.12,4192.09,1145.78,1293.09,12.0996
2015-01-22,1.8631,2063.15,4270.36,1156.11,1302.25,12.0996
2015-01-23,1.7968,2051.82,4278.14,1161.31,1294.08,12.0996
2015-01-26,1.8241,2057.09,4275.72,1161.42,1281.4,12.0996
2015-01-27,1.8231,2029.55,4165.5,1154.57,1292.34,12.0996
2015-01-28,1.7207,2002.16,4140.38,1160.28,1284.49,12.0996
2015-01-29,1.7512,2021.25,4181.35,1165.6,1257.27,12.0996
2015-01-30,1.6407,1994.99,4148.43,1167.89,1283.79,12.0996
2015-02-02,1.6642,2020.85,4188.59,1165.31,1274.41,12.0996
2015-02-03,1.7915,2050.03,4229.15,1155.26,1260.52,12.0996
2015-02-04,1.7513,2041.51,4221.2,1161.07,1269.35,12.0996
2015-02-05,1.8204,2062.52,4256.18,1154.99,1264.82,12.0996
2015-02-06,1.9567,2055.47,4228.68,1166.02,1234.04,12.0996
2015-02-09,1.9775,2046.74,4216.09,1164.3,1239.03,12.0996
2015-02-10,1.9967,2068.59,4281.16,1169.35,1233.55,12.0996
2015-02-11,2.0176,2068.53,4297.28,1174.87,1218.83,12.0996
2015-02-12,1.9844,2088.48,4347.97,1163.11,1221.98,12.0996
