Date,Forecasted_N100
1/17/20,9115.924653
1/21/20,9109.007554
1/22/20,9105.227954
1/23/20,9099.321464
1/24/20,9096.003571
1/27/20,9091.177527
1/28/20,9088.338868
1/29/20,9084.45327
1/30/20,9082.104476
1/31/20,9079.044576
2/3/20,9077.18314
2/4/20,9074.854153
2/5/20,9073.468672
2/6/20,9071.791354
2/7/20,9070.864605
2/10/20,9069.771921
2/11/20,9069.283079
2/12/20,9068.717683
2/13/20,9068.643896
2/14/20,9068.556217
2/18/20,9068.873716
2/19/20,9069.220492
2/20/20,9069.905371
2/21/20,9070.648519
2/24/20,9071.677262
2/25/20,9072.783005
2/26/20,9074.132836
2/27/20,9075.571016
2/28/20,9077.220126
3/2/20,9078.963663
3/3/20,9080.891339
3/4/20,9082.915799
3/5/20,9085.102495
3/6/20,9087.385742
3/9/20,9089.813098
3/10/20,9092.335005
3/11/20,9094.985841
3/12/20,9097.728059
3/13/20,9100.58634
3/16/20,9103.532102
3/17/20,9106.582898
3/18/20,9109.716847
3/19/20,9112.946281
3/20/20,9116.254334
3/23/20,9119.64952
3/24/20,9123.118742
3/25/20,9126.667732
3/26/20,9130.28623
3/27/20,9133.977951
3/30/20,9137.734781
3/31/20,9141.55898
4/1/20,9145.444061
4/2/20,9149.391247
4/3/20,9153.395291
4/6/20,9157.456681
4/7/20,9161.571124
4/8/20,9165.738594
4/9/20,9169.955536
4/13/20,9174.221573
4/14/20,9178.533725
4/15/20,9182.891381
4/16/20,9187.292015
4/17/20,9191.734868
4/20/20,9196.217773
4/21/20,9200.739884
4/22/20,9205.299324
4/23/20,9209.895204
4/24/20,9214.525882
4/27/20,9219.190458
4/28/20,9223.88748
4/29/20,9228.61606
4/30/20,9233.374908
5/1/20,9238.163157
5/4/20,9242.979653
5/5/20,9247.823564
5/6/20,9252.693851
5/7/20,9257.58972
5/8/20,9262.510231
5/11/20,9267.454634
5/12/20,9272.422076
5/13/20,9277.411849
5/14/20,9282.423176
5/15/20,9287.455393
5/18/20,9292.507791
5/19/20,9297.57975
5/20/20,9302.670619
5/21/20,9307.77982
5/22/20,9312.906757
5/26/20,9318.05089
5/27/20,9323.211672
5/28/20,9328.388603
5/29/20,9333.581179
6/1/20,9338.788933
6/2/20,9344.011404
6/3/20,9349.248159
6/4/20,9354.498772
6/5/20,9359.762841
6/8/20,9365.039974
6/9/20,9370.329799
6/10/20,9375.631955
6/11/20,9380.946096
6/12/20,9386.271889
6/15/20,9391.609016
6/16/20,9396.957167
6/17/20,9402.316049
6/18/20,9407.685375
6/19/20,9413.064874
6/22/20,9418.454283
6/23/20,9423.85335
6/24/20,9429.261831
6/25/20,9434.679494
6/26/20,9440.106114
6/29/20,9445.541476
6/30/20,9450.985372
7/1/20,9456.437604
7/2/20,9461.89798
7/6/20,9467.366316
7/7/20,9472.842434
7/8/20,9478.326166
7/9/20,9483.817347
7/10/20,9489.315821
7/13/20,9494.821436
7/14/20,9500.334047
7/15/20,9505.853516
7/16/20,9511.379707
7/17/20,9516.912492
7/20/20,9522.451748
7/21/20,9527.997354
7/22/20,9533.549198
7/23/20,9539.107168
7/24/20,9544.67116
7/27/20,9550.241072
7/28/20,9555.816807
7/29/20,9561.39827
7/30/20,9566.985372
7/31/20,9572.578026
8/3/20,9578.176149
8/4/20,9583.779662
8/5/20,9589.388487
8/6/20,9595.002551
8/7/20,9600.621784
